"jenis_demographic","segmentasi","klasifikasi","total_rumah_tangga","persentase"
"classification_3","REGULAR","Level9","5","1.43"
"kid_category_desc","REGULAR","None/Unknown","89","25.43"
"homeowner_desc","REGULAR","Probable Owner","4","1.14"
"homeowner_desc","REGULAR","Probable Renter","1","0.29"
"homeowner_desc","REGULAR","Renter","4","1.14"
"homeowner_desc","REGULAR","Unknown","40","11.43"
"classification_2","REGULAR","X","40","11.43"
"classification_2","REGULAR","Y","62","17.71"
"classification_2","REGULAR","Z","15","4.29"
"classification_4","REGULAR",NULL,"233","66.57"
"classification_1","REGULAR",NULL,"233","66.57"
"homeowner_desc","REGULAR",NULL,"233","66.57"
"classification_3","REGULAR",NULL,"233","66.57"
"classification_5","REGULAR",NULL,"233","66.57"
"kid_category_desc","REGULAR",NULL,"233","66.57"
"classification_2","REGULAR",NULL,"233","66.57"
"classification_4","RISK OF LOSING","1","9","6.08"
"kid_category_desc","RISK OF LOSING","1","6","4.05"
"kid_category_desc","RISK OF LOSING","2","1","0.68"
"classification_4","RISK OF LOSING","2","25","16.89"
"classification_4","RISK OF LOSING","3","5","3.38"
"kid_category_desc","RISK OF LOSING","3+","3","2.03"
"classification_4","RISK OF LOSING","4","1","0.68"
"classification_4","RISK OF LOSING","5+","3","2.03"
"classification_1","RISK OF LOSING","Age Group1","4","2.70"
"classification_1","RISK OF LOSING","Age Group2","3","2.03"
"classification_1","RISK OF LOSING","Age Group3","12","8.11"
"classification_1","RISK OF LOSING","Age Group4","15","10.14"
"classification_1","RISK OF LOSING","Age Group5","3","2.03"
"classification_1","RISK OF LOSING","Age Group6","6","4.05"
"classification_5","RISK OF LOSING","Group1","3","2.03"
"classification_5","RISK OF LOSING","Group2","5","3.38"
"classification_5","RISK OF LOSING","Group3","7","4.73"
"classification_5","RISK OF LOSING","Group4","4","2.70"
"classification_5","RISK OF LOSING","Group5","20","13.51"
"classification_5","RISK OF LOSING","Group6","4","2.70"
"homeowner_desc","RISK OF LOSING","Homeowner","25","16.89"
"classification_3","RISK OF LOSING","Level1","3","2.03"
"classification_3","RISK OF LOSING","Level2","6","4.05"
"classification_3","RISK OF LOSING","Level3","5","3.38"
"classification_3","RISK OF LOSING","Level4","11","7.43"
"classification_3","RISK OF LOSING","Level5","5","3.38"
"classification_3","RISK OF LOSING","Level6","7","4.73"
"classification_3","RISK OF LOSING","Level7","1","0.68"
"classification_3","RISK OF LOSING","Level8","3","2.03"
"classification_3","RISK OF LOSING","Level9","2","1.35"
"kid_category_desc","RISK OF LOSING","None/Unknown","33","22.30"
"homeowner_desc","RISK OF LOSING","Probable Renter","1","0.68"
"homeowner_desc","RISK OF LOSING","Renter","3","2.03"
"homeowner_desc","RISK OF LOSING","Unknown","14","9.46"
"classification_2","RISK OF LOSING","X","19","12.84"
"classification_2","RISK OF LOSING","Y","18","12.16"
"classification_2","RISK OF LOSING","Z","6","4.05"
"classification_5","RISK OF LOSING",NULL,"105","70.95"
"classification_4","RISK OF LOSING",NULL,"105","70.95"
"classification_2","RISK OF LOSING",NULL,"105","70.95"
"kid_category_desc","RISK OF LOSING",NULL,"105","70.95"
"classification_1","RISK OF LOSING",NULL,"105","70.95"
"homeowner_desc","RISK OF LOSING",NULL,"105","70.95"
"classification_3","RISK OF LOSING",NULL,"105","70.95"
