"monetary","total","persentase"
"820.18","1","0.04"
"822.64","1","0.04"
"823.08","1","0.04"
"823.35","1","0.04"
"826.74","1","0.04"
"827.44","1","0.04"
"827.46","1","0.04"
"830.11","1","0.04"
"833.51","1","0.04"
"834.27","1","0.04"
"834.29","1","0.04"
"834.56","1","0.04"
"835.71","1","0.04"
"840.23","1","0.04"
"840.87","1","0.04"
"842.45","1","0.04"
"843.02","1","0.04"
"843.76","1","0.04"
"845.39","1","0.04"
"846.70","1","0.04"
"847.25","1","0.04"
"851.93","1","0.04"
"852.56","1","0.04"
"852.95","1","0.04"
"853.45","1","0.04"
"853.65","1","0.04"
"854.91","1","0.04"
"857.96","1","0.04"
"857.98","1","0.04"
"858.80","1","0.04"
"865.70","1","0.04"
"866.56","1","0.04"
"867.18","1","0.04"
"868.69","1","0.04"
"869.16","1","0.04"
"869.28","1","0.04"
"870.11","1","0.04"
"872.91","1","0.04"
"874.23","1","0.04"
"876.88","1","0.04"
"877.32","1","0.04"
"877.76","1","0.04"
"879.93","1","0.04"
"884.84","1","0.04"
"890.25","1","0.04"
"891.10","1","0.04"
"894.00","1","0.04"
"895.76","1","0.04"
"899.49","1","0.04"
"899.63","1","0.04"
"899.92","1","0.04"
"902.77","1","0.04"
"903.15","1","0.04"
"904.18","1","0.04"
"906.55","1","0.04"
"906.65","1","0.04"
"908.83","1","0.04"
"909.05","1","0.04"
"909.96","1","0.04"
"914.56","1","0.04"
"914.70","1","0.04"
"916.97","1","0.04"
"921.33","1","0.04"
"921.84","1","0.04"
"922.39","1","0.04"
"923.46","1","0.04"
"927.56","1","0.04"
"929.27","1","0.04"
"931.89","1","0.04"
"933.43","1","0.04"
"933.59","1","0.04"
"936.39","1","0.04"
"937.23","1","0.04"
"943.13","1","0.04"
"944.69","1","0.04"
"945.89","1","0.04"
"946.00","1","0.04"
"946.28","1","0.04"
"947.03","1","0.04"
"947.61","1","0.04"
"949.01","1","0.04"
"949.82","1","0.04"
"950.7700000000000004440892","1","0.04"
"954.21","1","0.04"
"960.18","1","0.04"
"964.88","1","0.04"
"966.05","1","0.04"
"966.88","1","0.04"
"970.11","1","0.04"
"970.95","1","0.04"
"971.12","1","0.04"
"972.47","1","0.04"
"972.53","1","0.04"
"972.68","1","0.04"
"973.93","1","0.04"
"975.2500000000000008881784","1","0.04"
"977.07","1","0.04"
"978.48","1","0.04"
"978.85","1","0.04"
"978.87","1","0.04"
"978.91","1","0.04"
"982.76","1","0.04"
"983.32","1","0.04"
"983.53","1","0.04"
"988.73","1","0.04"
